"File","Question","Answer1","Answer2"
"9","What supports (philosophical, policy, supervisory) are there currently in place that are helpful for doing this work?","Work-study jobs through the OCS",""
"9","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Improve transportation options!!",""
"9","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Making it more known what opportunities are out there for students to pursue",""
"9","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Invest in freshman orientation trips more (we don’t do these anymore?)",""
"9","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Having a platform where students can easily access all of the events going on campus","Oo La La would accomplish this (?"
"9","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Expand subscriber list for the ENGAGE newsletter (about half in the room subscribe)","Put a poster of weekly events up in Usdan in a visible spot"
"9","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Students don’t like to do a lot of work/do a specific project - make it easier/more visible for students to get involved in small ways",""
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","A class that both students and community members can take on civic action/some related subject",""
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","Can be problematic for a transient group (like students) to help a permanent group (residents) without really knowing what they need and acknowledging what the students can honestly provide",""
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","Focusing on driving people into existing programs that are already doing great work","We can do better at telling people about what goes on/what they can do"
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","Is there a record of where existing civic engagement-related groups get their funding? And making this information public so it’s more accessible?","Important to know what we’re all doing"
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","Make all student groups have some outward-facing component to their group/programming? Potentially make this a requirement/incentive in order to obtain SBC funding?","Help people see how easy it is to involve the community in the things they’re already doing"
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","Make it more clear that almost all events on Wesleyan’s campus are open to the larger community",""
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","Rec sports - some issue with Middletown residents that happened on the courts caused rec basketball to get cancelled for a while, which gives students a bad impression of Middletown residents.","Work on ways to build positive (sports) relationships between students and community members"
"9","In an ideal setting, what would you want to see happen in the area of civic engagement for your department?","Rec sports - some issue with Middletown residents that happened on the courts caused rec basketball to get cancelled for a while, which gives students a bad impression of Middletown residents.","New tennis courts (on Vine) will be owned jointly by Wes and Middletown"
"10","What happens in your area that you would categorize as civic or community engagement?","Wesleyan as a whole has been working harder to be engaged with the community at large; moving in the right direction (has lived in Middletown her whole life)",""
"10","What happens in your area that you would categorize as civic or community engagement?","If you start an initiative, it should be for the whole community (and not just Wesleyan)","Important to be consistent in signage, etc. between Wesleyan and the community (with things like recycling, trash, and compost bins)"
"10","What happens in your area that you would categorize as civic or community engagement?","Community engagement as concentric circles; how does Wesleyan (smaller circle) fit into Middletown (larger circle)","Encourage people (faculty & staff) to live in Middletown through various means"
"10","What happens in your area that you would categorize as civic or community engagement?","Long Lane Farm used to have (still has?) a summer program where Middletown folks can come on Saturdays to work at the farm; combination of crafts, farm tours, education, helping harvest, feeding chickens, and going home with a bundle of veggies",""
"10","Are there barriers that hinder you (or your department) from doing this work?","Structural barriers; managing tasks and knowing the great list of opportunities to share and the great list of who to send those things to (communication)",""
"10","Are there barriers that hinder you (or your department) from doing this work?","Navigating roles as a Wesleyan employee and a Middletown resident",""
"10","Are there barriers that hinder you (or your department) from doing this work?","Amount of staff available to do the work; can’t do everything you want when there’s already so much work to do",""
"10","Are there barriers that hinder you (or your department) from doing this work?","Difficult to understand things like recycling policies; could be good to increase education about topics like these","Also difficult to change behaviors (getting people to recycle)"
"10","What supports (philosophical, policy, supervisory) are there currently in place that are helpful for doing this work?","Other people helping putting up posters downtown",""
"10","What supports (philosophical, policy, supervisory) are there currently in place that are helpful for doing this work?","SAGES committee/Jen’s work and her involvement on campus and in the community","Synergy between these different offices/people across campus"
"10","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Promoting team engagement exercises",""
"10","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Have Wesleyan volunteer days where you’re given a day off to do community work",""
"10","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Ask employees to report on their engagement work as part of their performance goals to create a database of all this work","Set amount of time/year where we’re encouraged to do community volunteer work (without taking a personal day)"
"10","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Publish a list of places you can volunteer for people who aren’t sure where to start",""
"10","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Definitely important for Wesleyan to encourage and recognize civic engagement work",""
"10","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","Students want to be more involved in community engagement efforts already going on, yet they’re also not around super consistently - how can we best balance these two things so students don’t have a huge learning curve and then have to leave once they finally get settled",""
"10","Are there ways that Wesleyan can institutionally make it easier for you and your colleagues here to engage with our community? (If needed – some programs might include give people a day off work to volunteer or include engagement in your performance evaluation)","More students at Common Council meetings so they can learn more about Middletown",""
"5","How is Wesleyan engaged with your organization?  If so, please describe that engagement.","Students engage with the Connecticut Valley Hospital through two different courses (science and humanities)",""
"5","How is Wesleyan engaged with your organization?  If so, please describe that engagement.","One Macdonough Place - students work with their residents quite a bit (WesAge, a capella, filming movies, lots of collaboration on events)",""
"5","How is Wesleyan engaged with your organization?  If so, please describe that engagement.","Have explored a college-based rotary club in the past - is there interest?","The students have to organize it, and we support them, for it to be successfu"
"5","How is Wesleyan engaged with your organization?  If so, please describe that engagement.","Food packets (crew team, maybe another athletic team) worked with the Rotary",""
"5","How is Wesleyan engaged with your organization?  If so, please describe that engagement.","Recruited volunteers for Middletown Thanksgiving Project",""
"5","How is Wesleyan engaged with your organization?  If so, please describe that engagement.","Work-study students from Wesleyan at United Way; have students from the Board Residency Program on their board (second student this year)",""
"5","Do you see any supports at Wesleyan that make Wesleyan/community collaborations easier to establish and maintain?","Speakers from Wesleyan at Rotary Club meetings that have been of interest to club members; could encourage more of this in the future","If there’s a topic they’re interested in, is there a way to facilitate finding speakers?"
"5","Do you see any supports at Wesleyan that make Wesleyan/community collaborations easier to establish and maintain?","Have students talk with Rotary members about projects they’re interested in and potentially find matches; get the students plugged in with club members through projects they’re interested in",""
"5","Do you see any supports at Wesleyan that make Wesleyan/community collaborations easier to establish and maintain?","Can add Rotary events to the ENGAGE newsletter and/or subscribe club members to the Community Newsletter",""
"5","In an ideal world, what would Wesleyan/community engagement look like?","Rotary International has fellowships for peacemaking (usually at the graduate level) - a university-based rotary club might be interested in this","Peacemaking activities and practicing them"
"5","In an ideal world, what would Wesleyan/community engagement look like?","Mentorship match ups; have the Rotary Club come to Wesleyan and give presentations, inform students ways to get involved, etc.",""
"5","In an ideal world, what would Wesleyan/community engagement look like?","Some sort of social innovation competition (woman is a judge on one in California)","We have the Seed Grant Competition"
"5","In an ideal world, what would Wesleyan/community engagement look like?","How will JCCP/Allbritton be connected to the bookstore?","The new bookstore will be a gateway for better connecting the university and downtown"
"5","In an ideal world, what would Wesleyan/community engagement look like?","How will JCCP/Allbritton be connected to the bookstore?","RJ Julia is known for all the events they host; will bring a lot more events/programs to Middletown and Wesleyan and have them open to everyone"
"5","In an ideal world, what would Wesleyan/community engagement look like?","Can Wesleyan can help be a driver for diversity in retail on Main Street?",""
